 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
  157  sysHZComb1157                          1.8469   +/-   0.7231        :N:M:D
  158  sysHZComb1158                         -0.0755   +/-   0.7960        :N:M:D
  159  sysHZComb1159                          0.0040   +/-   1.0000        :N:M:D
  160  sysHZComb1160                          0.1934   +/-   0.8808        :N:M:D
  161  sysHZComb1161                          1.7763   +/-   0.8403        :N:M:D
  162  sysHZComb1162                         -1.1785   +/-   0.8883        :N:M:D
  163  proc_nrl                               3.2957   +/-   0.3867        :N:M:D
  164  proc_tb21                             -0.7192   +/-   0.6691        :N:M:D
  165  proc_tb22                             -0.2748   +/-   0.3052        :N:M:D
  166  proc_tb23                             -0.6368   +/-   0.4346        :N:M:D
  167  proc_tb24                             -3.6384   +/-   0.4085        :N:M:D
  168  proc_gp                               -1.1251   +/-   0.4515        :N:M:D
  169  proc_had                              -0.9176   +/-   0.5373        :N:M:D
  170  LMDYcorr1                              0.1680   +/-   0.9888        :N:M:D
  171  LMDYcorr2                              0.1180   +/-   0.9899        :N:M:D
  172  LMDYcorr3                             -0.9773   +/-   0.9124        :N:M:D
  173  LMDYcorr4                              0.3604   +/-   0.9789        :N:M:D
  174  LMDYcorr5                             -0.1222   +/-   0.9930        :N:M:D
  175  LMDYcorr6                              0.2633   +/-   0.9452        :N:M:D
  176  LMDYcorr7                              0.3984   +/-   0.9905        :N:M:D
  177  LMDYcorr8                              0.4784   +/-   0.9841        :N:M:D
  178  LMDYcorr9                             -0.1712   +/-   0.8675        :N:M:D
  179  LMDYcorr10                            -1.0835   +/-   0.8263        :N:M:D
  180  LMDYcorr11                             0.2266   +/-   0.9700        :N:M:D
  181  LMDYcorr12                            -0.1864   +/-   0.9664        :N:M:D
  182  LMDYcorr13                             0.3956   +/-   0.9665        :N:M:D
  183  ALumi2011                              1.7338   +/-   0.5425        :N:M:D
  184  JetScaleEff1                          -2.0770   +/-   0.8801        :N:M:D
  185  JetScaleEff2                          -4.9780   +/-   0.8123        :N:M:D
  186  JetScaleEff3                           1.4102   +/-   0.9772        :N:M:D
  187  JetScaleEff4                          -0.3341   +/-   0.9931        :N:M:D
  188  JetScaleEff5                          -0.0697   +/-   0.9975        :N:M:D
  189  JetScaleEff6                          -0.2876   +/-   0.9972        :N:M:D
  190  JetScaleEta1                           0.1045   +/-   0.9775        :N:M:D
  191  JetScaleEta2                          -0.5277   +/-   0.9914        :N:M:D
  192  JetScaleHighPt                         0.0000   +/-   1.0000        :N:M:D
  193  JetScaleMC                             0.0000   +/-   1.0000        :N:M:D
  194  JetScalePileup1                       -0.0727   +/-   0.9998        :N:M:D
  195  JetScalePileup2                        0.0842   +/-   0.9989        :N:M:D
  196  JetScalePileup3                       -0.3889   +/-   0.9969        :N:M:D
  197  JetScalePileup4                        0.2880   +/-   0.9569        :N:M:D
  198  JetScaleFlav1Known                    -0.2427   +/-   0.9967        :N:M:D
  199  JetScaleFlav2                          0.4268   +/-   0.8721        :N:M:D
  200  JetScaleBjet                           0.0000   +/-   1.0000        :N:M:D
  201  JetScalepunchT                         0.0000   +/-   1.0000        :N:M:D
  202  JetResolution10                        2.0272   +/-   0.6343        :N:M:D
  203  JetSFBeff                              1.3162   +/-   0.9664        :N:M:D
  204  JetSFCeff                              0.2170   +/-   0.9984        :N:M:D
  205  JetSFLmistag                           0.1773   +/-   0.9990        :N:M:D
  206  JetSFHighPt                            0.0000   +/-   1.0000        :N:M:D
  207  JetJVFcut                             -0.0349   +/-   0.9964        :N:M:D
  208  ElScaleR12                            -0.2849   +/-   0.9975        :N:M:D
  209  ElScaleZee                            -0.1734   +/-   0.9961        :N:M:D
  210  ElScalePS                              0.0162   +/-   1.0000        :N:M:D
  211  ElResolution                           0.0808   +/-   0.9998        :N:M:D
  212  ElSFReco                              -0.4363   +/-   0.9953        :N:M:D
  213  ElSFId                                -1.2716   +/-   0.9691        :N:M:D
  214  ElSFTrigger                           -0.5116   +/-   0.9937        :N:M:D
  215  ElSFIso                               -0.2115   +/-   0.9985        :N:M:D
  216  ElSFChargeMisID                        0.0000   +/-   1.0000        :N:M:D
  217  METScale                              -0.3331   +/-   0.9434        :N:M:D
  218  METResLong                            -0.4694   +/-   0.9636        :N:M:D
  219  METResTrans                           -0.5013   +/-   0.9587        :N:M:D
  220  PileupWeight                          -0.1528   +/-   0.9972        :N:M:D
  221  QCDlowRange                           -0.0198   +/-   0.9995        :N:M:D
  222  QCDhighRange                           0.0074   +/-   1.0000        :N:M:D
  223  QCDvarIso                              0.4913   +/-   0.9961        :N:M:D
  224  QCDvarElID                             0.4033   +/-   0.9794        :N:M:D
  225  QCDotherGen                           -0.0444   +/-   0.9999        :N:M:D
  226  QCDfitRebin                           -0.0080   +/-   1.0000        :N:M:D
  227  XsecZ                                  0.0393   +/-   0.9999        :N:M:D
  228  XsecTop                               -0.4382   +/-   0.9910        :N:M:D
  229  XsecDibos                             -0.1090   +/-   0.9998        :N:M:D
  230  BkgTtbarNorm                           0.4224   +/-   0.9912        :N:M:D
  231  WHFmodel                              -0.4499   +/-   0.9832        :N:M:D
  232  UnfoldReweight                         0.2314   +/-   0.9987        :N:M:D
  233  Lumi                                  -2.0822   +/-   0.8717        :N:M:D
After minimisation    1582.04  1155     1.370

  Partial chi2s 
Dataset    1    447.85( +6.34)   377  HERA1+2 NCep 920                                
Dataset    2     70.30( -0.14)    70  HERA1+2 NCep 820                                
Dataset    3    224.43( -0.49)   254  HERA1+2 NCep 575                                
Dataset    4    218.64( -2.26)   204  HERA1+2 NCep 460                                
Dataset    5    222.22( -0.87)   159  HERA1+2 NCem                                    
Dataset    6     45.62( -0.14)    39  HERA1+2 CCep                                    
Dataset    7     72.80( -1.21)    42  HERA1+2 CCem                                    
Dataset    8      9.38( +0.19)     8  ATLAS low mass DY 2011                          
Dataset    9    144.62( -4.24)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    128.98019910931583     
 Log penalty Chi2   -2.8190828216064197     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2338   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5962   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.5645   +/-   0.5569        :N:M:D
    4  sysHZComb1004                          0.5671   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.4613   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.5333   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1290   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0869   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0575   +/-   0.8998        :N:M:D
   10  sysHZComb1010                         -0.3724   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7444   +/-   0.9662        :N:M:D
