 First iteration    4022.7291502854646             1138   3.5349113798642042     
After minimisation    4022.73  1138     3.535

  Partial chi2s 
Dataset    1   1529.85(-19.05)   377  HERA1+2 NCep 920                                
Dataset    2    111.99( -5.41)    70  HERA1+2 NCep 820                                
Dataset    3    317.41(-22.13)   254  HERA1+2 NCep 575                                
Dataset    4    357.25(-18.94)   204  HERA1+2 NCep 460                                
Dataset    5    719.08( -3.95)   159  HERA1+2 NCem                                    
Dataset    6    102.40( +1.10)    39  HERA1+2 CCep                                    
Dataset    7    105.01( -2.00)    42  HERA1+2 CCem                                    
Dataset    8      5.95( -0.77)     6  ATLAS DY mass 2010 extended data                

 Correlated Chi2    844.92335063400390     
 Log penalty Chi2   -71.138730674061406     
 Systematic shifts          176
  
                                Name          Shift   +/-    Error          Type
  134  sysHZComb1134                          0.5541   +/-   0.9787        :N:M:D
  135  sysHZComb1135                         -1.5806   +/-   0.8195        :N:M:D
  136  sysHZComb1136                          0.6632   +/-   0.8784        :N:M:D
  137  sysHZComb1137                         -0.4456   +/-   0.8846        :N:M:D
  138  sysHZComb1138                          0.5905   +/-   0.9201        :N:M:D
  139  sysHZComb1139                         -1.0610   +/-   0.9413        :N:M:D
  140  sysHZComb1140                         -0.3119   +/-   0.9580        :N:M:D
  141  sysHZComb1141                         -0.2104   +/-   0.9711        :N:M:D
  142  sysHZComb1142                          0.9934   +/-   0.8610        :N:M:D
  143  sysHZComb1143                          0.4578   +/-   0.8553        :N:M:D
  144  sysHZComb1144                          1.5255   +/-   0.8419        :N:M:D
  145  sysHZComb1145                          0.3446   +/-   0.9860        :N:M:D
  146  sysHZComb1146                          0.2327   +/-   0.9896        :N:M:D
  147  sysHZComb1147                          0.7797   +/-   0.8048        :N:M:D
  148  sysHZComb1148                         -0.6134   +/-   0.7937        :N:M:D
  149  sysHZComb1149                          0.5504   +/-   0.7654        :N:M:D
  150  sysHZComb1150                         -0.4023   +/-   0.7879        :N:M:D
  151  sysHZComb1151                         -0.1242   +/-   0.9630        :N:M:D
  152  sysHZComb1152                          0.8574   +/-   0.7351        :N:M:D
  153  sysHZComb1153                         -1.4608   +/-   0.8352        :N:M:D
  154  sysHZComb1154                         -0.3862   +/-   0.8128        :N:M:D
  155  sysHZComb1155                          1.4277   +/-   0.8167        :N:M:D
  156  sysHZComb1156                          0.0309   +/-   0.9160        :N:M:D
  157  sysHZComb1157                          1.1628   +/-   0.7234        :N:M:D
  158  sysHZComb1158                          0.0665   +/-   0.7982        :N:M:D
  159  sysHZComb1159                         -0.0262   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0474   +/-   0.8820        :N:M:D
  161  sysHZComb1161                          0.7003   +/-   0.8422        :N:M:D
