 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  135  sysHZComb1135                          5.5628   +/-   0.8246        :N:M:D
  136  sysHZComb1136                         -1.2905   +/-   0.8831        :N:M:D
  137  sysHZComb1137                          5.9835   +/-   0.8891        :N:M:D
  138  sysHZComb1138                          5.0153   +/-   0.9214        :N:M:D
  139  sysHZComb1139                          2.3985   +/-   0.9454        :N:M:D
  140  sysHZComb1140                          0.7187   +/-   0.9594        :N:M:D
  141  sysHZComb1141                         -0.2950   +/-   0.9734        :N:M:D
  142  sysHZComb1142                          3.1190   +/-   0.8623        :N:M:D
  143  sysHZComb1143                          3.1986   +/-   0.8566        :N:M:D
  144  sysHZComb1144                          6.6977   +/-   0.8466        :N:M:D
  145  sysHZComb1145                          0.5209   +/-   0.9870        :N:M:D
  146  sysHZComb1146                          0.2352   +/-   0.9904        :N:M:D
  147  sysHZComb1147                          3.9897   +/-   0.8126        :N:M:D
  148  sysHZComb1148                         -1.0783   +/-   0.8086        :N:M:D
  149  sysHZComb1149                          7.5408   +/-   0.7664        :N:M:D
  150  sysHZComb1150                         -1.7148   +/-   0.7904        :N:M:D
  151  sysHZComb1151                          0.1998   +/-   0.9657        :N:M:D
  152  sysHZComb1152                         -1.1899   +/-   0.7366        :N:M:D
  153  sysHZComb1153                        -10.5151   +/-   0.8382        :N:M:D
  154  sysHZComb1154                          6.8434   +/-   0.8181        :N:M:D
  155  sysHZComb1155                          3.2301   +/-   0.8231        :N:M:D
  156  sysHZComb1156                         -3.9364   +/-   0.9173        :N:M:D
  157  sysHZComb1157                         -1.0710   +/-   0.7278        :N:M:D
  158  sysHZComb1158                          4.9224   +/-   0.8088        :N:M:D
  159  sysHZComb1159                         -0.0337   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0517   +/-   0.8878        :N:M:D
  161  sysHZComb1161                          0.2855   +/-   0.8528        :N:M:D
  162  sysHZComb1162                         13.2305   +/-   0.8910        :N:M:D
  163  proc_nrl                              -6.2435   +/-   0.3938        :N:M:D
  164  proc_tb21                             -6.7811   +/-   0.6781        :N:M:D
  165  proc_tb22                             -3.6921   +/-   0.3144        :N:M:D
  166  proc_tb23                             -0.3240   +/-   0.4350        :N:M:D
  167  proc_tb24                             15.5451   +/-   0.4179        :N:M:D
  168  proc_gp                                3.1091   +/-   0.4634        :N:M:D
  169  proc_had                              -2.3298   +/-   0.5455        :N:M:D
After minimisation    1385.32  1132     1.224

  Partial chi2s 
Dataset    1    446.06( +9.83)   377  HERA1+2 NCep 920                                
Dataset    2     70.70( +0.37)    70  HERA1+2 NCep 820                                
Dataset    3    221.98( +1.98)   254  HERA1+2 NCep 575                                
Dataset    4    216.29( -0.22)   204  HERA1+2 NCep 460                                
Dataset    5    217.51( +0.57)   159  HERA1+2 NCem                                    
Dataset    6     45.27( +0.28)    39  HERA1+2 CCep                                    
Dataset    7     57.90( -1.75)    42  HERA1+2 CCem                                    

 Correlated Chi2    98.542762227090051     
 Log penalty Chi2    11.053530239978301     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.4254   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5919   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.4924   +/-   0.5566        :N:M:D
    4  sysHZComb1004                          0.3261   +/-   0.6187        :N:M:D
    5  sysHZComb1005                          1.2982   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.1889   +/-   0.7878        :N:M:D
    7  sysHZComb1007                          0.1267   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0720   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0391   +/-   0.8993        :N:M:D
   10  sysHZComb1010                         -0.3457   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8539   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3925   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6188   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0354   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1991   +/-   0.9632        :N:M:D
   16  sysHZComb1016                         -0.0564   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2334   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.2002   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3714   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3222   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0386   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1657   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1216   +/-   0.9451        :N:M:D
   24  sysHZComb1024                          0.0858   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1215   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8220   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.1593   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          0.8484   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.6534   +/-   0.9183        :N:M:D
   30  sysHZComb1030                         -0.3495   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.6672   +/-   0.8386        :N:M:D
