 First iteration    4258.4314728655290             1178   3.6149672944529110     
After minimisation    4258.43  1178     3.615

  Partial chi2s 
Dataset    1    556.48(+17.51)   377  HERA1+2 NCep 920                                
Dataset    2     69.27( +2.59)    70  HERA1+2 NCep 820                                
Dataset    3    243.57( +8.53)   254  HERA1+2 NCep 575                                
Dataset    4    225.54( +4.56)   204  HERA1+2 NCep 460                                
Dataset    5    244.16( -0.09)   159  HERA1+2 NCem                                    
Dataset    6     46.12( +0.18)    39  HERA1+2 CCep                                    
Dataset    7     61.22( -2.26)    42  HERA1+2 CCem                                    
Dataset    8      6.17( +0.35)     6  ATLAS DY mass 2010 extended data                
Dataset    9   2336.79( +0.00)    41  ATLAS 8 TeV $W^+$ +jets jet 1 rap               

 Correlated Chi2    437.74682476575651     
 Log penalty Chi2    31.368350012596036     
 Systematic shifts          227
  
                                Name          Shift   +/-    Error          Type
  113  sysHZComb1113                          1.5273   +/-   0.8406        :N:M:D
  114  sysHZComb1114                          1.0408   +/-   0.8054        :N:M:D
  115  sysHZComb1115                          2.5936   +/-   0.7555        :N:M:D
  116  sysHZComb1116                          0.0276   +/-   0.7713        :N:M:D
  117  sysHZComb1117                          0.0730   +/-   0.8221        :N:M:D
  118  sysHZComb1118                         -0.2370   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.1629   +/-   0.9747        :N:M:D
  120  sysHZComb1120                          1.2135   +/-   0.8551        :N:M:D
  121  sysHZComb1121                          0.3695   +/-   0.9899        :N:M:D
  122  sysHZComb1122                         -0.0446   +/-   0.9330        :N:M:D
  123  sysHZComb1123                         -0.5589   +/-   0.9287        :N:M:D
  124  sysHZComb1124                         -1.1360   +/-   0.8621        :N:M:D
  125  sysHZComb1125                          0.8755   +/-   0.8728        :N:M:D
  126  sysHZComb1126                         -0.1120   +/-   0.9153        :N:M:D
  127  sysHZComb1127                          0.7134   +/-   0.9234        :N:M:D
  128  sysHZComb1128                         -0.5149   +/-   0.9553        :N:M:D
  129  sysHZComb1129                          0.4883   +/-   0.8581        :N:M:D
  130  sysHZComb1130                         -0.5305   +/-   0.8062        :N:M:D
  131  sysHZComb1131                          1.0082   +/-   0.7910        :N:M:D
  132  sysHZComb1132                         -1.5837   +/-   0.7898        :N:M:D
  133  sysHZComb1133                          0.6899   +/-   0.8214        :N:M:D
  134  sysHZComb1134                          0.9589   +/-   0.9786        :N:M:D
  135  sysHZComb1135                         -2.3478   +/-   0.8190        :N:M:D
  136  sysHZComb1136                          1.2409   +/-   0.8779        :N:M:D
